tmdb_id,title,release_year,release_date,character,budget,revenue,runtime_min,vote_average,vote_count,popularity,profit
9766,Gridiron Gang,2006,2006-09-15,Sean Porter,30000000.0,41500000.0,125,7.051,1088,3.8203,11500000.0
8814,Doom,2005,2005-10-20,Sarge,60000000.0,58100000.0,105,5.188,2423,5.0391,-1900000.0
4551,Be Cool,2005,2005-03-04,Elliot Wilhelm,53000000.0,95200000.0,119,5.475,976,3.1028,42200000.0
58974,WWE WrestleMania XX,2004,2004-03-14,The Rock,,,240,8.254,57,1.313,
11358,Walking Tall,2004,2004-04-02,Chris Vaughn,46000000.0,57223888.0,86,6.312,1646,4.4164,11223888.0
10159,The Rundown,2003,2003-09-26,Beck,85000000.0,80900000.0,104,6.446,2164,3.3187,-4100000.0
9334,The Scorpion King,2002,2002-04-18,Mathayus / The Scorpion King,60000000.0,165333180.0,92,5.59,3365,3.6433,105333180.0
58971,WWE Wrestlemania X8,2002,2002-03-17,The Rock,,,420,8.225,60,0.8381,
1734,The Mummy Returns,2001,2001-05-04,Mathayus / The Scorpion King,98000000.0,443280904.0,130,6.4,7630,13.1759,345280904.0
209740,WWE WrestleMania X-Seven,2001,2001-04-01,The Rock,,,227,8.792,53,0.826,
