tmdb_id,title,release_year,release_date,genres,character,budget_usd,revenue_usd,runtime_min,vote_average,vote_count,popularity,era
9776,Head of State,2003.0,2003-03-28,"Comedy, Drama",Mays Gilliam,35200000,37788228,95,5.568,315,2.5122,before_2022
27631,"Richard Pryor: I Ain't Dead Yet, #*%$#@!!",2003.0,2003-11-30,"Comedy, Documentary",Self,,,40,8.2,5,0.7202,before_2022
286500,Saturday Night Live: The Best of Chris Farley,2003.0,2003-10-26,Comedy,Various (archive footage) (uncredited),,,50,7.594,32,0.7932,before_2022
389080,The Very Best of America's Funniest Comedians,2003.0,2003-05-13,Comedy,Self (archive footage),,,114,0.0,0,0.495,before_2022
15644,Paparazzi,2004.0,2004-09-03,"Action, Drama, Thriller",Pizza Delivery Guy,20000000,16800000,84,5.313,209,1.3877,before_2022
17871,Chris Rock: Never Scared,2004.0,2004-04-17,Comedy,Self,,,80,7.544,91,1.2635,before_2022
598116,Before They Were Kings: Vol. 1,2004.0,2004-01-18,Comedy,Self,,,72,0.0,0,0.3564,before_2022
953,Madagascar,2005.0,2005-05-25,"Adventure, Animation, Comedy, Family",Marty (voice),75000000,542064525,86,6.922,11680,14.2203,before_2022
9291,The Longest Yard,2005.0,2005-05-27,"Drama, Comedy, Crime",Caretaker,90000000,191466556,113,6.668,3660,9.2885,before_2022
15258,The Aristocrats,2005.0,2005-07-29,"Comedy, Documentary",Self,,,89,5.98,177,1.596,before_2022
434622,Romanekian,2005.0,2005-09-13,"Music, Documentary",Self,,,7,10.0,2,0.4407,before_2022
949439,Shelter from the Storm: A Concert for the Gulf Coast,2005.0,2005-09-02,"Music, TV Movie, Documentary",Self - Presenter,,,60,2.0,1,0.8859,before_2022
692620,TNA: The 50 Greatest Moments,2006.0,2006-11-21,,Self,,,184,10.0,1,0.4641,before_2022
65873,The N Word,2006.0,2006-01-16,Documentary,Self,,,86,7.167,6,0.5705,before_2022
573308,Kings of Comedy USA,2006.0,2006-10-23,Comedy,Self (archive footage),,,62,6.8,4,0.5259,before_2022
5559,Bee Movie,2007.0,2007-10-28,"Family, Animation, Adventure, Comedy",Mooseblood (voice),150000000,287594577,91,6.037,5235,9.5088,before_2022
49255,Annie Leibovitz: Life Through a Lens,2007.0,2007-05-19,Documentary,Self,,,83,7.7,23,0.7491,before_2022
1419372,Jerry Seinfeld: The Comedian Award,2007.0,2007-04-01,"Comedy, Documentary",Self,,,58,6.0,1,0.4666,before_2022
26765,Mr. Warmth: The Don Rickles Project,2007.0,2007-10-13,"Documentary, Comedy",Self,,,89,6.8,23,0.9242,before_2022
14434,I Think I Love My Wife,2007.0,2007-03-07,"Comedy, Romance",Richard Cooper,11000000,13196245,94,5.312,202,1.451,before_2022
337559,Saturday Night Live in the '90s: Pop Culture Nation,2007.0,2007-05-06,"Documentary, Comedy, TV Movie",Self,,,120,0.0,0,0.6464,before_2022
10527,Madagascar: Escape 2 Africa,2008.0,2008-10-30,"Adventure, Animation, Comedy, Family",Marty / Additional Zebras (voice),150000000,603900354,89,6.524,7401,9.8052,before_2022
287864,The Black List: Volume One,2008.0,2008-01-22,Documentary,Self,,,87,6.5,2,0.4044,before_2022
14244,Chris Rock: Kill the Messenger,2008.0,2008-09-27,Comedy,Self,,,79,7.604,91,1.1636,before_2022
10661,You Don't Mess with the Zohan,2008.0,2008-06-05,"Comedy, Action",Taxi Driver,90000000,204313400,113,5.714,4053,6.6685,before_2022
37040,Why We Laugh: Black Comedians on Black Comedy,2009.0,2009-01-01,"Comedy, Documentary",Self,,,95,8.0,6,0.436,before_2022
25472,Merry Madagascar,2009.0,2009-11-16,"Animation, Family",Marty (voice),,,30,6.5,320,1.6971,before_2022
22800,Good Hair,2009.0,2009-10-09,"Documentary, Comedy",Self,,,96,6.6,103,0.8557,before_2022
34803,Death at a Funeral,2010.0,2010-04-15,Comedy,Aaron,21000000,49050886,92,5.877,1061,3.8956,before_2022
74454,Baseball: The Tenth Inning,2010.0,2010-09-28,Documentary,Self,,,243,8.0,8,0.4307,before_2022
38365,Grown Ups,2010.0,2010-06-24,Comedy,Kurt McKenzie,80000000,271457606,102,6.4,6635,14.2548,before_2022
124804,Back From Hell: A Tribute to Sam Kinison,2010.0,2010-02-06,"Comedy, Documentary",Self,,,60,6.2,3,0.3917,before_2022
81167,Woody Allen: A Documentary,2011.0,2011-11-20,Documentary,Self,,,193,6.884,168,1.0339,before_2022
62425,Talking Funny,2011.0,2011-04-22,"Comedy, Documentary",Self,,,50,7.4,61,0.2629,before_2022
80321,Madagascar 3: Europe's Most Wanted,2012.0,2012-06-06,"Animation, Family, Comedy, Adventure",Marty (voice),145000000,746921274,93,6.63,6534,9.3041,before_2022
824247,Maximum Impact: The Legacy of 'Lethal Weapon',2012.0,2012-07-04,Documentary,Self,,,22,6.7,3,0.3663,before_2022
1307291,Vanilla Ice Archive,2012.0,2012-07-16,"Documentary, Music",Self (archive footage),,,186,0.0,0,1.1232,before_2022
157723,Nantucket Film Festival's Comedy Roundtable,2012.0,2012-09-27,"Comedy, Documentary, TV Movie",Self - Panelist,,,45,7.0,10,0.3173,before_2022
144645,Eddie Murphy: One Night Only,2012.0,2012-11-14,"TV Movie, Comedy",Self,,,86,6.0,10,0.6157,before_2022
124073,Iceberg Slim: Portrait of a Pimp,2012.0,2012-09-08,Documentary,Self,,,89,6.2,16,0.4099,before_2022
76494,What to Expect When You're Expecting,2012.0,2012-05-17,"Romance, Comedy, Drama",Vic,40000000,79700000,110,6.0,1847,2.1852,before_2022
89870,Brooklyn Boheme,2012.0,2012-02-27,Documentary,Self,,,75,6.8,7,0.2728,before_2022
87842,I Ain't Scared of You: A Tribute to Bernie Mac,2012.0,2012-02-19,"Documentary, Comedy",Self,,,60,8.1,11,0.61,before_2022
149922,12-12-12 | The Concert for Sandy Relief,2012.0,2012-12-12,"Music, Documentary",Self,,,350,6.8,16,1.0127,before_2022
84165,2 Days in New York,2012.0,2012-03-28,"Comedy, Drama, Romance",Mingus,8000000,1653792,91,5.609,308,0.9154,before_2022
164558,One Direction: This Is Us,2013.0,2013-08-20,"Documentary, Music",Self,10000000,68500000,92,8.226,1065,1.5898,before_2022
109418,Grown Ups 2,2013.0,2013-07-11,Comedy,Kurt McKenzie,80000000,247022278,101,6.142,4643,10.0742,before_2022
161143,Madly Madagascar,2013.0,2013-01-29,"Animation, Comedy, Family",Marty (voice),,,21,6.5,246,2.2037,before_2022
284296,Top Five,2014.0,2014-12-12,"Drama, Comedy, Romance",Andre Allen,12000000,26117471,102,6.089,494,2.7937,before_2022
439972,Eat Drink Laugh: The Story of The Comic Strip,2014.0,2014-04-14,"Documentary, Comedy",Self,,,80,7.5,2,0.3294,before_2022
364067,A Very Murray Christmas,2015.0,2015-12-04,"Comedy, Music, TV Movie",Chris Rock,,,56,5.198,455,1.29,before_2022
373558,Taylor Swift: The 1989 World Tour - Live,2015.0,2015-12-20,Music,Self - Special Guest,,,132,8.5,155,1.3021,before_2022
1333146,Darkskin Manson,2015.0,2015-05-15,Music,Self (archive footage),,,37,5.0,1,0.2591,before_2022
449692,Dancing in the Light: The Janet Collins Story,2015.0,2015-03-30,,Narrator,,,17,0.0,0,0.1911,before_2022
334328,Live from New York!,2015.0,2015-04-15,"Comedy, Documentary",Self,,,90,5.9,22,0.8761,before_2022
343887,The Last Laugh,2016.0,2016-04-18,Documentary,Self,,,89,7.048,21,1.1066,before_2022
419700,Sandy Wexler,2017.0,2017-04-14,"Comedy, Drama, Romance",Testimonial,,,130,5.474,588,1.6247,before_2022
483808,Night of Too Many Stars: America Unites for Autism Programs,2017.0,2017-11-18,"Comedy, Documentary, TV Movie",Self,,,131,6.4,5,0.6467,before_2022
372979,Dying Laughing,2017.0,2017-02-24,Documentary,Self,,,89,6.4,19,0.9525,before_2022
1677324,Frank Ocean Full Concert FYF Fest 2017,2017.0,2017-07-22,Music,Attendee,,,75,10.0,1,0.4625,before_2022
505159,Chris Rock: Tamborine,2018.0,2018-02-14,Comedy,Self,,,64,6.439,180,0.6139,before_2022
514619,Nobody's Fool,2018.0,2018-10-31,"Comedy, Romance",Lawrence,19000000,29200000,110,6.063,292,1.7038,before_2022
