Year,popularity
2004,3
2005,6
2006,2
2007,2
2008,3
2009,4
2010,3
2011,3
2012,4
2013,2
2014,8
2015,3
2016,8
2017,4
2018,6
2019,2
2020,4
2021,2
2022,100
2023,21
2024,2
2025,1
2026,1
